mm-yy,open,close,er
Jan-00,11501.85,10940.53,-0.048802584
Feb-00,10937.74,10128.3,-0.074004319
Mar-00,10128.11,10921.9,0.078374939
Apr-00,10863.28,10733.91,-0.011908926
May-00,10726.46,10521.9,-0.019070597
Jun-00,10532.3,10447.8,-0.008022939
Jul-00,10450.36,10521.9,0.006845697
Aug-00,10523.81,11229.1,0.067018504
Sep-00,11219.54,10650.9,-0.050683005
Oct-00,10658.05,10970.1,0.029278339
Nov-00,10966.21,10414.4,-0.050319117
Dec-00,10416.76,10788.7,0.03570592
Jan-01,10790.92,10887.3,0.008931583
Feb-01,10884.82,10495.2,-0.035794804
Mar-01,10493.25,9878.7,-0.058566221
Apr-01,9877.16,10734.9,0.086840752
May-01,10734.05,10911.9,0.016568769
Jun-01,10913.57,10502.4,-0.037675115
Jul-01,10504.95,10522.81,0.001700151
Aug-01,10527.38,9949.75,-0.054869303
Sep-01,9946.98,8847.56,-0.11052802
Oct-01,8845.97,9075.14,0.025906712
Nov-01,9087.45,9851.56,0.084084094
Dec-01,9848.93,10021.5,0.0175217
Jan-02,10021.71,9920,-0.010148967
Feb-02,9923.04,10106.13,0.018450999
Mar-02,10111.04,10403.94,0.028968336
Apr-02,10402.07,9946.22,-0.043823008
May-02,9944.9,9925.25,-0.001975887
Jun-02,9923.94,9243.26,-0.068589693
Jul-02,9239.25,8736.59,-0.054404849
Aug-02,8732.58,8663.5,-0.007910606
Sep-02,8659.27,7591.93,-0.123259813
Oct-02,7593.04,8397.03,0.105885126
Nov-02,8395.64,8896.09,0.059608321
Dec-02,8902.95,8341.63,-0.063048765
Jan-03,8342.38,8053.81,-0.034590848
Feb-03,8053.74,7891.08,-0.020196828
Mar-03,7890.24,7992.13,0.012913422
Apr-03,7992.83,8480.09,0.060962137
May-03,8478.48,8850.26,0.043849841
Jun-03,8851.45,8985.44,0.015137633
Jul-03,8983.66,9233.8,0.027843885
Aug-03,9232.68,9415.82,0.019836061
Sep-03,9416.67,9275.06,-0.015038225
Oct-03,9276.8,9801.12,0.056519489
Nov-03,9802.46,9789.35,-0.001337419
Dec-03,9785.35,10453.92,0.068323565
Jan-04,10452.74,10488.07,0.003379975
Feb-04,10487.78,10583.92,0.009166859
Mar-04,10582.25,10357.7,-0.021219495
Apr-04,10357.52,10225.57,-0.012739536
May-04,10227.27,10188.45,-0.003795734
Jun-04,10187.18,10435.48,0.024373772
Jul-04,10434,10139.71,-0.028204907
Aug-04,10138.45,10173.92,0.003498562
Sep-04,10170.12,10080.27,-0.008834704
Oct-04,10082.04,10027.47,-0.005412595
Nov-04,10028.73,10428.02,0.039814613
Dec-04,10425.8,10783.01,0.034262119
Jan-05,10783.75,10489.94,-0.027245624
Feb-05,10489.72,10766.23,0.026360094
Mar-05,10769.04,10503.76,-0.024633579
Apr-05,10504.57,10192.51,-0.02970707
May-05,10192,10467.48,0.027029042
Jun-05,10462.86,10274.97,-0.017957805
Jul-05,10273.59,10640.91,0.035753811
Aug-05,10641.78,10481.6,-0.015051993
Sep-05,10481.44,10568.7,0.008325192
Oct-05,10569.5,10440.07,-0.012245612
Nov-05,10437.51,10805.87,0.035291942
Dec-05,10806.03,10717.5,-0.008192648
Jan-06,10718.3,10864.86,0.01367381
Feb-06,10862.14,10993.41,0.012085096
Mar-06,10993.25,11109.32,0.010558297
Apr-06,11113,11367.14,0.022868712
May-06,11367.78,11168.31,-0.017546962
Jun-06,11169.03,11150.22,-0.001684121
Jul-06,11149.34,11185.68,0.003259386
Aug-06,11184.8,11381.15,0.017555075
Sep-06,11382.75,11679.07,0.026032374
Oct-06,11678.99,12080.73,0.034398522
Nov-06,12080.25,12221.93,0.011728234
Dec-06,12220.97,12463.15,0.019816758
Jan-07,12459.54,12621.69,0.013014124
Feb-07,12617.2,12268.63,-0.027626573
Mar-07,12265.59,12354.35,0.007236505
Apr-07,12354.52,13062.91,0.057338529
May-07,13062.75,13627.64,0.04324434
Jun-07,13628.69,13408.62,-0.016147553
Jul-07,13409.6,13211.99,-0.014736457
Aug-07,13211.09,13357.74,0.011100522
Sep-07,13358.39,13895.63,0.040217421
Oct-07,13895.71,13930.01,0.002468388
Nov-07,13924.16,13371.72,-0.039674925
Dec-07,13368.22,13264.82,-0.007734762
Jan-08,13261.82,12650.36,-0.046106794
Feb-08,12638.17,12266.39,-0.029417234
Mar-08,12264.36,12262.89,-0.000119859
Apr-08,12266.64,12820.13,0.045121565
May-08,12818.34,12638.32,-0.01404394
Jun-08,12637.67,11350.01,-0.101890618
Jul-08,11344.64,11378.02,0.002942359
Aug-08,11379.89,11543.55,0.01438151
Sep-08,11545.63,10850.66,-0.060193337
Oct-08,10847.4,9325.01,-0.140346074
Nov-08,9326.04,8829.04,-0.053291644
Dec-08,8826.89,8776.39,-0.005721154
Jan-09,8772.25,8000.86,-0.08793525
Feb-09,8000.62,7062.93,-0.117202167
Mar-09,7056.48,7608.92,0.078288325
Apr-09,7606.13,8168.12,0.073886457
May-09,8167.41,8500.33,0.040762004
Jun-09,8501.53,8447,-0.00641414
Jul-09,8447.53,9171.61,0.085714996
Aug-09,9173.65,9496.28,0.035169207
Sep-09,9492.32,9712.28,0.023172417
Oct-09,9711.6,9712.73,0.000116356
Nov-09,9712.13,10344.84,0.065146369
Dec-09,10343.82,10428.05,0.008143026
Jan-10,10430.69,10067.33,-0.034835663
Feb-10,10068.99,10325.26,0.025451411
Mar-10,10326.1,10856.63,0.051377577
Apr-10,10857.3,11008.61,0.013936246
May-10,11009.6,10136.63,-0.079291709
Jun-10,10133.94,9774.02,-0.035516295
Jul-10,9773.27,10465.94,0.070873924
Aug-10,10468.82,10014.72,-0.043376426
Sep-10,10016.01,10788.05,0.077080594
Oct-10,10789.7,11118.49,0.03047258
Nov-10,11120.3,11006,-0.0102785
Dec-10,11007.2,11577.51,0.05181245
Jan-11,11577.43,11891.93,0.027164923
Feb-11,11892.5,12226.34,0.028071474
Mar-11,12226.49,12319.73,0.007626064
Apr-11,12321,12810.54,0.039732165
May-11,12810.16,12569.79,-0.018764012
Jun-11,12569.41,12414.34,-0.012337095
Jul-11,12412.07,12143.24,-0.021658756
Aug-11,12144.22,11613.53,-0.043698978
Sep-11,11613.3,10913.38,-0.06026883
Oct-11,10912.1,11955.01,0.095573721
Nov-11,11951.53,12045.68,0.007877652
Dec-11,12046.21,12217.56,0.014224391
Jan-12,12221.19,12632.91,0.033689027
Feb-12,12632.76,12952.07,0.025276345
Mar-12,12952.29,13212.04,0.020054369
Apr-12,13211.36,13213.63,0.000171822
May-12,13214.16,12393.45,-0.062108375
Jun-12,12391.56,12880.09,0.039424415
Jul-12,12879.71,13008.68,0.010013424
Aug-12,13007.47,13090.84,0.006409394
Sep-12,13092.31,13437.13,0.026337598
Oct-12,13437.82,13096.46,-0.02540293
Nov-12,13099.11,13025.58,-0.005613358
Dec-12,13027.65,13104.14,0.005871358
Jan-13,13104.3,13860.58,0.057712354
Feb-13,13860.58,14054.49,0.013990035
Mar-13,14054.49,14578.54,0.037287016
Apr-13,14578.54,14839.8,0.017920862
May-13,14839.8,15115.57,0.018583135
Jun-13,15123.55,14909.6,-0.014146811
Jul-13,14911.6,15499.54,0.039428364
Aug-13,15503.85,14810.31,-0.044733405
Sep-13,14801.55,15129.67,0.022167949
Oct-13,15132.49,15545.75,0.027309451
Nov-13,15558.01,16086.41,0.033963213
Dec-13,16087.12,16576.66,0.030430556
Jan-14,16572.17,15698.85,-0.052697987
Feb-14,15697.69,16321.71,0.039752346
Mar-14,16321.71,16457.66,0.008329397
Apr-14,16458.05,16580.84,0.007460787
May-14,16580.26,16717.17,0.00825741
Jun-14,16716.85,16826.6,0.006565232
Jul-14,16828.53,16563.3,-0.015760735
Aug-14,16561.7,17098.45,0.032409113
Sep-14,17097.42,17042.9,-0.003188785
Oct-14,17040.46,17390.52,0.020542873
Nov-14,17390.9,17828.24,0.025147635
Dec-14,17827.27,17823.07,-0.000235594
Jan-15,17823.07,17164.95,-0.036925176
Feb-15,17169.99,18132.7,0.05606934
Mar-15,18134.05,17776.12,-0.019738007
Apr-15,17778.52,17840.52,0.003487354
May-15,17859.27,18010.68,0.00847795
Jun-15,18017.82,17619.51,-0.022106448
Jul-15,17638.12,17689.86,0.002933419
Aug-15,17696.74,16528.03,-0.066040977
Sep-15,16528.03,16284.7,-0.014722263
Oct-15,16278.62,17663.54,0.085076008
Nov-15,17672.62,17719.92,0.002676457
Dec-15,17719.72,17425.03,-0.016630624
Jan-16,17405.48,16466.3,-0.053958868
Feb-16,16453.63,16516.5,0.003821041
Mar-16,16545.67,17685.09,0.068865147
Apr-16,17661.74,17773.64,0.006335729
May-16,17783.78,17787.2,0.00019231
Jun-16,17754.55,17929.99,0.009881411
Jul-16,17924.24,18432.24,0.028341508
Aug-16,18434.5,18400.88,-0.001823754
Sep-16,18396.57,18308.15,-0.004806331
Oct-16,18279.6,18142.42,-0.007504541
Nov-16,18158.24,19123.58,0.053162641
Dec-16,19149.2,19762.6,0.03203267
Jan-17,19872.86,19864.09,-0.000441305
Feb-17,19923.81,20812.24,0.044591371
Mar-17,20957.29,20663.22,-0.014031871
Apr-17,20665.17,20940.51,0.013323868
May-17,20962.73,21008.65,0.002190554
Jun-17,21030.55,21349.63,0.015172214
Jul-17,21392.3,21891.12,0.023317736
Aug-17,21961.42,21948.1,-0.000606518
Sep-17,21981.77,22405.09,0.019257776
Oct-17,22423.47,23377.24,0.042534452
Nov-17,23442.9,24272.35,0.035381715
Dec-17,24305.4,24719.22,0.017025846
Jan-18,24809.35,26149.39,0.054013507
Feb-18,26083.04,25029.2,-0.040403266
Mar-18,25024.04,24103.11,-0.036801811
Apr-18,24076.6,24163.15,0.003594777
May-18,24117.29,24415.84,0.012379086
Jun-18,24542.09,24271.41,-0.011029216
Jul-18,24161.53,25415.19,0.051886615
Aug-18,25461.63,25964.82,0.019762678
Sep-18,25916.07,26458.31,0.020922925
Oct-18,26598.36,25115.76,-0.055740279
Nov-18,25142.08,25538.46,0.015765601
Dec-18,25779.57,23327.46,-0.095118344
Jan-19,23058.61,24999.67,0.084179402
Feb-19,25025.31,25916,0.035591567
Mar-19,26019.67,25928.68,-0.00349697
Apr-19,26075.1,26592.91,0.019858409
May-19,26639.06,24815.04,-0.068471635
Jun-19,24830.16,26599.96,0.071276222
Jul-19,26805.86,26864.27,0.002179001
Aug-19,26879.86,26362.25,-0.019256425
Sep-19,26198.26,26916.83,0.027428157
Oct-19,26962.54,27046.23,0.003103936
Nov-19,27142.95,28051.41,0.033469464
Dec-19,28109.74,28462.14,0.01253658
Jan-20,28638.97,28256.03,-0.013371291
Feb-20,28319.65,25409.36,-0.102765748
Mar-20,25590.51,21917.16,-0.143543446
Apr-20,21227.38,24345.72,0.146901784
May-20,24120.78,25383.11,0.052333714
Jun-20,25342.99,25812.88,0.018541222
Jul-20,25879.38,26428.32,0.021211482
Aug-20,26542.32,28430.05,0.071121515
Sep-20,28439.61,27781.7,-0.02313358
Oct-20,27940.63,26501.6,-0.051503134
Nov-20,26691.28,29638.64,0.110424079
Dec-20,29797.5,30606.48,0.027149257
Jan-21,30627.47,29982.62,-0.021054628
Feb-21,30054.73,30932.37,0.029201394
Mar-21,31065.9,32981.55,0.061664075
Apr-21,33054.58,33874.85,0.024815623
May-21,33904.89,34529.45,0.018420942
Jun-21,34584.19,34502.51,-0.002361773
Jul-21,34507.32,34935.47,0.012407512
Aug-21,34968.56,35360.73,0.011214931
Sep-21,35387.55,33843.92,-0.043620708
Oct-21,33930.7,35819.56,0.055668171
Nov-21,35833.65,34483.72,-0.037672132
Dec-21,34678.94,36338.3,0.047849213
Jan-22,36321.59,35131.86,-0.032755449
Feb-22,35151.47,33892.6,-0.035812727
Mar-22,33813.48,34678.35,0.025577669
Apr-22,34740.89,32977.21,-0.05076669
May-22,32978.49,32990.12,0.000352654
Jun-22,33156.31,30775.43,-0.071807749
Jul-22,30737.77,32845.13,0.0685593
Aug-22,32755.71,31510.43,-0.038017188
Sep-22,31454.58,28725.51,-0.086762246
Oct-22,28855.25,32732.95,0.134384557
Nov-22,32862.79,34589.77,0.052551229
Dec-22,34533.59,33147.25,-0.040144682
Jan-23,33148.9,34086.04,0.028270621
Feb-23,34039.6,32656.7,-0.040626212
Mar-23,32656.37,33274.15,0.018917596
Apr-23,33245.78,34098.16,0.025638743
May-23,34116.81,32908.27,-0.035423593
Jun-23,32929.85,34407.6,0.044875698
Jul-23,34369.78,35559.53,0.034616166
Aug-23,35585.99,34721.91,-0.024281466
Sep-23,34876.24,33507.5,-0.03924563
Oct-23,33455.5,33052.87,-0.012034792
Nov-23,33081.87,35950.89,0.086724844
Dec-23,35914.45,37689.54,0.04942551
Jan-24,37566.22,38150.3,0.015548011
Feb-24,38175.34,38996.39,0.02150734
Mar-24,38989.51,39807.37,0.020976411
Apr-24,39807.93,37815.92,-0.050040532
May-24,37845.56,38686.32,0.022215552
Jun-24,38709.99,39118.86,0.01056239
Jul-24,39186.2,40842.79,0.042274831
Aug-24,40916.96,41563.08,0.015791007
Sep-24,41489.67,42330.15,0.020257573
Oct-24,42262.97,41763.46,-0.011819094
Nov-24,41869.82,44910.65,0.07262582
Dec-24,44925.86,42544.22,-0.053012675
Jan-25,42660.09,44544.66,0.044176419
Feb-25,44268.15,43840.91,-0.009651183
Mar-25,43900.49,42001.76,-0.04325077
Apr-25,41879.75,40669.36,-0.028901557
May-25,40918.04,42270.07,0.033042394
Jun-25,42199.94,44094.77,0.044901249
Jul-25,44061.49,44130.98,0.001577114
Aug-25,43781.77,45544.88,0.040270414
Sep-25,45287.73,46397.89,0.024513483
Oct-25,46366.78,47562.87,0.025796271

